column,dtype,n_missing,missing_pct,n_unique_incl_na
Aircraft,object,93032,71.86,3633
AirlineName,object,0,0.0,547
CabinType,object,3018,2.33,5
DateFlown,object,38462,29.71,112
DatePub,object,0,0.0,5200
EntertainmentRating,int64,0,0.0,6
FoodRating,int64,0,0.0,6
GroundServiceRating,int64,0,0.0,6
OriginCountry,object,1678,1.3,203
OverallScore,float64,4331,3.35,11
Recommended,object,0,0.0,2
Review,object,824,0.64,128426
Route,object,38630,29.84,51402
SeatComfortRating,int64,0,0.0,6
ServiceRating,int64,0,0.0,6
Slug,object,0,0.0,548
Title,object,4,0.0,70976
TravelType,object,38309,29.59,5
TripVerified,object,69947,54.03,7
ValueRating,int64,0,0.0,6
WifiRating,int64,0,0.0,6
unique_id,object,0,0.0,129455
